metric,n,k,f_stat,p_value,eta_sq
p01,26372,24,5.055,<0.001,0.004
p05,26372,24,5.767,<0.001,0.005
p10,26372,24,4.035,<0.001,0.004
pi,26372,24,2.067,0.002,0.002
cep,15643,23,1.997,0.004,0.003
uiop,8503,23,2.919,<0.001,0.008
pop_mean_pct,26372,24,2.016,0.003,0.002
genre_js,26265,24,4.305,<0.001,0.004
genre_entropy,26372,24,7.266,<0.001,0.006
year_decade_js,26323,24,2.954,<0.001,0.003
year_decade_entropy,26323,24,2.621,<0.001,0.002
mean_year,26323,24,3.272,<0.001,0.003
redundancy_new,26372,24,8.338,<0.001,0.007
redundancy_repeated,26372,24,13.871,<0.001,0.012
