metric,emotion,n,pearson_r,pearson_p,spearman_r,spearman_p
p01,admiration,225,-0.06738901813200578,0.3142474398361399,-0.12972956630957722,0.051976909700316445
p01,approval,225,0.013952387135935804,0.8351272630934038,0.15364916774554674,0.02113252829294743
p01,confusion,225,-0.02397191435581124,0.7206222207038199,0.019211294426672867,0.7744256434693974
p01,curiosity,225,-0.1276119436572815,0.05596100658898031,-0.0871449398786599,0.19278910082813905
p01,desire,225,-0.05930371780646582,0.37595136490194464,-0.11416467853126994,0.08753944032119562
p01,disappointment,225,-0.029852437462156177,0.6560366625517664,-0.057468469976267166,0.3909283432301528
p01,gratitude,225,-0.042605048591763686,0.5249035406738398,-0.08201832627359362,0.22039130157473746
p01,love,225,-0.019053510184542904,0.7762290740247167,0.02500530216336919,0.7091121586226743
p01,neutral,225,0.03388604910890308,0.6131340449347719,0.14591333198948975,0.028652552443306237
p01,surprise,225,0.9450516301276226,2.967547032961999e-110,0.31496684935552377,1.4250548863094372e-06
p05,admiration,225,-0.06802470131682492,0.30969393290776437,-0.015916702410340693,0.8123187318296732
p05,approval,225,0.1035275888950283,0.1215192875088012,0.15104297969081798,0.023448826567978864
p05,confusion,225,0.0634625292428666,0.3433375048206826,0.012903028259882581,0.8473698155359899
p05,curiosity,225,-0.18547590482859383,0.005256176361479752,-0.13683385513778215,0.04029309995321571
p05,desire,225,-0.15018893369033093,0.024254038622889804,-0.22766830865504167,0.0005789108248493677
p05,disappointment,225,-0.08954315449177401,0.18078032838412164,-0.1436124698672528,0.031290132160847806
p05,gratitude,225,0.00623783758971962,0.9258659723257718,0.06137389219203704,0.35948600087834764
p05,love,225,-0.004536219289040994,0.9460525909745534,0.022334571076040557,0.7389877358355579
p05,neutral,225,0.14428636487533703,0.030497000895286234,0.23476520106947563,0.00038285262069401755
p05,surprise,225,0.5899621477052301,1.7275464655265443e-22,0.20465855712440212,0.002032068595816317
p10,admiration,225,-0.05939385735920849,0.3752249410626515,-0.050504252997307084,0.4509539906315489
p10,approval,225,0.16734044858160405,0.01194119438063158,0.18979132941625465,0.004276297024900184
p10,confusion,225,0.020894514390685834,0.7552639111541589,-0.004934610647443682,0.9413228347402697
p10,curiosity,225,-0.1848901414483089,0.005403666917449156,-0.14662605485121624,0.027875117787715786
p10,desire,225,-0.17924825195314187,0.00702587751861006,-0.19504266748021515,0.0033075320676366807
p10,disappointment,225,-0.10296137107265636,0.12358136141686935,-0.10990799603863752,0.10008886468412627
p10,gratitude,225,0.09638558233881266,0.1495597255986499,0.11236028142417327,0.09269588920840174
p10,love,225,-0.02924617961423258,0.6625881644529328,-0.02182564667022018,0.7447269953977106
p10,neutral,225,0.18083719093664724,0.006529960997080106,0.2260127452381886,0.0006363882405422887
p10,surprise,225,0.4473326950517102,1.8086385208913485e-12,0.19876779470730416,0.0027457939221928415
pi,admiration,225,-0.10984644341528567,0.10028026758009045,-0.10459018078320811,0.11772175244243431
pi,approval,225,0.11455752448878583,0.08644785072812318,0.11290908828232164,0.09110254473815305
pi,confusion,225,-0.04934478083944635,0.46142774308941414,-0.04372819502858632,0.5140259192433897
pi,curiosity,225,-0.10921655779350194,0.10225564826695158,-0.10909136393112773,0.10265190774584032
pi,desire,225,-0.1629683119691686,0.014393411760679948,-0.16788370287758997,0.011663794781165424
pi,disappointment,225,-0.15754280450433206,0.018041456445897677,-0.16104477939049178,0.015605171016674134
pi,gratitude,225,0.18053521570158831,0.006621729776027764,0.19991012879828754,0.0025917629540031847
pi,love,225,0.0014726163134182492,0.9824748987520532,-0.007969010628134522,0.9053773528725061
pi,neutral,225,0.26041076006781005,7.723550309767328e-05,0.2866641658612443,1.2536938249807922e-05
