metric,emotion,n,pearson_r,pearson_p,spearman_r,spearman_p
p01,admiration,26372,0.020863406809590434,0.000703241221669727,0.021826390235020116,0.00039299796831338506
p01,amusement,26372,-0.015030523164109575,0.014650804868555804,-0.015334457153212303,0.012764927528312103
p01,anger,26372,0.003136911590164975,0.6104756951510131,0.002930129082432265,0.6342057892768367
p01,annoyance,26372,-0.0009235193629762075,0.880790285365183,0.00024092679254039828,0.9687920433241879
p01,approval,26372,0.008398922794683666,0.1725993704645681,0.007874442490386921,0.2009935605965919
p01,caring,26372,-0.0011105615593666638,0.8568851161187158,-0.0016667392350310664,0.7866550222403753
p01,confusion,26372,-0.011510079148911723,0.061602255155814654,-0.01213132031643361,0.04883381083424074
p01,curiosity,26372,-0.005031072021917504,0.4139368417469944,-0.004164094486973315,0.4989154129019666
p01,desire,26372,-0.011574281032118171,0.0601661077184768,-0.012073974302792488,0.04991093329414829
p01,disappointment,26372,-0.008575989341711297,0.16372450828168825,-0.009055549760327629,0.14141754856515645
p01,disapproval,26372,-0.01950648085612228,0.0015354536983045147,-0.020306912804508387,0.0009740515769375955
p01,disgust,26372,-0.007294774998754185,0.23617898399456969,-0.007105847596376807,0.2485366532879381
p01,embarrassment,26372,0.008061645778462358,0.1904914003786054,0.007822288139847726,0.20399330404715307
p01,excitement,26372,-0.007175945762075746,0.24389981606621886,-0.005824534439975731,0.3442322310579829
p01,fear,26372,-0.023668383040152688,0.00012105813550723901,-0.024381376454172557,7.501120000403948e-05
p01,gratitude,26372,-0.017839806313328876,0.0037653234221940958,-0.017565495864548322,0.004335959228235972
p01,joy,26372,-0.004695443223149331,0.4457720269514529,-0.004759505515104077,0.4395900605712426
p01,love,26372,0.04030313380566304,5.856293467003115e-11,0.04091933945512036,2.980157383681336e-11
p01,neutral,26372,-0.009453680469886983,0.12473765192511593,-0.010611562613197647,0.08484746538811282
p01,optimism,26372,-0.00915631010325789,0.13704232592311077,-0.008152421461602985,0.18554678346807502
p01,realization,26372,0.014913629777329036,0.015439065742269505,0.014909780255469568,0.015465647707940254
p01,remorse,26372,0.007100758473825472,0.24887567189958218,0.007200414593682685,0.24229565425993602
p01,sadness,26372,-0.0056093336391077695,0.3623536646526478,-0.006474203305121248,0.2931039696438663
p01,surprise,26372,-0.010903647337984247,0.07661693467545896,-0.010887427389885393,0.0770562560359656
p05,admiration,26372,0.02529692636457914,3.981571055383944e-05,0.024243800349915225,8.23507597153299e-05
p05,amusement,26372,-0.022718484557442256,0.000224553902410512,-0.022489711024755183,0.0002597036377787919
p05,anger,26372,0.006091104708371757,0.3226021406632177,0.006408844162725362,0.29800416332164464
p05,annoyance,26372,-0.00286141612113936,0.642176821131984,-0.003298392909128271,0.5922231371677057
p05,approval,26372,0.01677214689505509,0.006454178080481169,0.018075182174501984,0.0033310477007675323
p05,caring,26372,-0.005012848369712541,0.4156300912138974,-0.005613016751929341,0.36203858041810266
p05,confusion,26372,-0.011727062501499554,0.056859851473072195,-0.011507625383192586,0.061657702244679265
p05,curiosity,26372,-0.009861131448750863,0.10929779633711646,-0.010833697115623778,0.07852623768389415
p05,desire,26372,-0.0017873562808329488,0.7716299990952535,-0.0009600010993339507,0.8761184486102948
p05,disappointment,26372,-0.0067580779333507,0.2724509544199599,-0.006876615344714351,0.26412888904853
p05,disapproval,26372,-0.01974794600387487,0.001340709979652249,-0.018961948289491597,0.002073842007623776
p05,disgust,26372,0.0025624804528722647,0.6773266602677255,0.002363597816861114,0.7011134794343589
p05,embarrassment,26372,0.007043436359895221,0.2527166005989679,0.007155532645620806,0.24524378325581875
p05,excitement,26372,-0.00437955194741608,0.476969476689463,-0.003961335516975429,0.5200479759335839
p05,fear,26372,-0.020015477589857937,0.0011517122478938834,-0.018678867894124613,0.0024176053355345842
p05,gratitude,26372,-0.017529121599927665,0.004417245522672248,-0.017443713746316283,0.004613563078177704
p05,joy,26372,0.005592113205504682,0.36382912212981733,0.005172552909423563,0.40093060904075806
p05,love,26372,0.04217090248718169,7.331040766156466e-12,0.04038302601255749,5.368174954712273e-11
p05,neutral,26372,-0.016296109097488923,0.008134150818045345,-0.014656489673800148,0.017305614818806436
p05,optimism,26372,-0.0006550041565568647,0.9152934793028585,-0.001326325979693342,0.8294725918509818
p05,realization,26372,0.001951203799534432,0.7513572664322405,0.0024026269345372563,0.6964214440623316
p05,remorse,26372,0.0009017054798376805,0.8835857565532218,0.0004854292246172058,0.9371699545900045
p05,sadness,26372,-0.01646860955009375,0.007484802210667391,-0.015972999049605762,0.009487448726793059
p05,surprise,26372,-0.014850767730908212,0.015878215416740213,-0.01536941227682309,0.012562442492555255
p10,admiration,26372,0.013809222374327784,0.02492626689031886,0.012784523364539892,0.03788250749124477
p10,amusement,26372,-0.007436382010585284,0.2272059327539174,-0.009519282878897186,0.12214280266942566
p10,anger,26372,0.008975337753816384,0.14497662341034445,0.009186581134085818,0.13574850064902358
p10,annoyance,26372,-0.00385653121184237,0.5311493931414899,-0.0028904687435506128,0.6388014774614744
p10,approval,26372,0.021097808405026963,0.0006116643864580546,0.022542053232694703,0.0002512338117424437
p10,caring,26372,0.0009542038576863728,0.876860557031036,0.0015687768886486508,0.7989170089057397
p10,confusion,26372,-0.00674459573577901,0.2734087293462079,-0.006190982138768409,0.3147312686552068
p10,curiosity,26372,-0.00893187411308204,0.14693359311313348,-0.010805432447938716,0.07930862974645123
p10,desire,26372,0.005828900538402234,0.343870664076002,0.007054500909773492,0.2519720101631158
p10,disappointment,26372,0.0026019575655611537,0.6726422248441205,0.0023363058404238415,0.7044012879160864
p10,disapproval,26372,-0.004766015014594081,0.4389646645259622,-0.0036653393642280163,0.5517064242552888
p10,disgust,26372,0.006751133048483375,0.2729440317460913,0.0071688527369500685,0.24436622192323035
p10,embarrassment,26372,0.004486902968706284,0.466235451722234,0.004592506632439584,0.4558083150729387
p10,excitement,26372,-0.013720074497094415,0.025876180753163076,-0.013684071677903626,0.02626859062651786
p10,fear,26372,-0.029746941129863647,1.35452277066686e-06,-0.02755816424690412,7.607783660452518e-06
p10,gratitude,26372,-0.011147294425928777,0.07026002768040378,-0.009650610842497553,0.11707516842117564
p10,joy,26372,0.0018475956422164515,0.7641576631483965,0.0033846636427770577,0.5825755408504425
p10,love,26372,0.03107206986054133,4.490007295297227e-07,0.02627564265506203,1.97625754732852e-05
p10,neutral,26372,-0.019286635947388685,0.0017350872385379194,-0.015800046526761383,0.010291428638425103
p10,optimism,26372,-0.0064495393019347695,0.2949467218305979,-0.007542282087860027,0.2206561992324679
p10,realization,26372,0.00709994943675093,0.24892959674412568,0.007550083038656357,0.22017913392064228
p10,remorse,26372,-0.0007268866840180188,0.906038436886744,0.0006616691212253577,0.9144348469208133
p10,sadness,26372,-0.001711045073671039,0.7811263705157908,-0.0014625310165456095,0.8122720366294024
p10,surprise,26372,-0.012631702257135807,0.040237293170096854,-0.013621248853792428,0.026965644886738593
