dataset,split,conversation_id,turn_idx,emotion_top1,emotion_top1_score,p01,p05,p10,pi,cep,uiop,pop_mean_pct,genre_js,genre_entropy,year_decade_js,year_decade_entropy,mean_year,redundancy_new,redundancy_repeated,stereotype_label,stereotype_score_0,stereotype_score_1,emo_curiosity,emo_neutral,emo_confusion,emo_approval,emo_annoyance,emo_disapproval,emo_love,emo_admiration,emo_joy,emo_disappointment,emo_realization,emo_surprise,emo_excitement,emo_amusement,emo_desire,emo_optimism,emo_gratitude,emo_sadness,emo_fear,emo_disgust,emo_caring,emo_anger,emo_relief,emo_embarrassment,emo_nervousness,emo_remorse,emo_grief,emo_pride,rec_turn_order
redial,train,391,5,curiosity,0.627,0.000,0.000,1.000,0.924,,,0.924,0.442,1.099,0.320,0.000,2017.000,1,0,0,0.751,,0.627,0.421,0.142,0.008,0.007,,,,,,,,,,,,,,,,,,,,,,,,0
redial,train,395,5,confusion,0.571,1.000,1.000,1.000,0.997,,1.000,0.997,0.497,1.386,0.419,0.000,2002.000,1,0,1,,0.895,0.482,0.289,0.571,,0.010,0.009,,,,,,,,,,,,,,,,,,,,,,,0
redial,train,397,1,love,0.623,1.000,1.000,1.000,0.998,,1.000,0.998,0.497,1.386,0.419,0.000,2009.000,1,0,0,0.604,,0.520,,0.266,0.056,,,0.623,0.204,,,,,,,,,,,,,,,,,,,,,0
redial,train,397,3,love,0.536,1.000,1.000,1.000,0.995,1.000,,0.995,0.381,1.099,0.320,0.000,2015.000,1,0,0,0.875,,,0.103,,0.116,,,0.536,0.172,0.060,,,,,,,,,,,,,,,,,,,,1
redial,train,397,9,neutral,0.747,0.000,1.000,1.000,0.987,1.000,,0.987,0.366,1.386,0.419,0.000,2008.000,1,0,0,0.831,,,0.747,,,0.017,0.271,,,,0.057,0.024,,,,,,,,,,,,,,,,,,2
redial,train,405,1,curiosity,0.681,1.000,1.000,1.000,0.991,,,0.991,0.404,0.693,0.419,0.000,2004.000,1,0,0,0.852,,0.681,0.366,0.116,0.007,,,,,,,,0.005,,,,,,,,,,,,,,,,,0
redial,train,407,3,curiosity,0.711,0.000,1.000,1.000,0.979,,,0.979,0.584,0.000,0.320,0.000,2017.000,1,0,0,0.886,,0.711,0.241,0.156,0.010,,,,,,,,0.007,,,,,,,,,,,,,,,,,0
redial,train,407,5,love,0.952,0.000,0.000,1.000,0.916,1.000,,0.916,0.584,0.000,0.320,0.000,2014.000,1,0,1,,0.534,,0.013,,0.043,,,0.952,0.026,0.010,,,,,,,,,,,,,,,,,,,,1
redial,train,407,11,neutral,0.724,0.000,0.000,0.000,0.851,0.000,,0.851,0.463,0.000,0.320,0.000,2017.000,1,0,1,,0.665,0.434,0.724,0.067,0.007,0.006,,,,,,,,,,,,,,,,,,,,,,,,2
redial,train,407,15,love,0.951,0.000,1.000,1.000,0.965,0.000,,0.965,0.282,1.386,0.419,0.000,2009.000,1,0,0,0.555,,,0.010,,0.025,,,0.951,0.079,0.016,,,,,,,,,,,,,,,,,,,,3
