emotion,episodes,unique_items,total_mentions,gini,hhi,mean_mentions_per_item
desire,15,329,456,0.2228576761051564,0.003933902739304386,1.3860182370820668
curiosity,88,2107,3729,0.3100337367823329,0.0006865657838539589,1.769814902705268
confusion,42,1230,1898,0.2571067533646887,0.0010604029975538496,1.5430894308943088
disappointment,4,143,250,0.2618181818181817,0.008832000000000017,1.7482517482517483
admiration,19,505,835,0.2836260152961403,0.0026777582559432034,1.6534653465346534
love,10,411,550,0.19324928113249262,0.0029090909090909263,1.338199513381995
approval,21,661,1045,0.24402348189273892,0.0018854879695977714,1.5809379727685324
neutral,15,607,986,0.274515373382211,0.00224646059025134,1.6243822075782537
gratitude,8,113,177,0.2635868206589671,0.011650547416132029,1.5663716814159292
surprise,3,87,121,0.21069630474019174,0.014001775834983961,1.3908045977011494
