emotion,episodes,unique_items,total_mentions,gini,mean_mentions_per_item
curiosity,2460,1179,2807,0.463,2.381
confusion,438,380,481,0.181,1.266
love,3573,1298,4137,0.537,3.187
neutral,7489,2230,8407,0.575,3.770
amusement,1353,662,1549,0.470,2.340
admiration,5102,1694,5833,0.566,3.443
joy,636,466,725,0.294,1.556
disapproval,857,599,937,0.300,1.564
fear,193,122,207,0.361,1.697
approval,1405,808,1574,0.397,1.948
optimism,282,243,326,0.219,1.342
gratitude,1295,854,1471,0.336,1.722
excitement,268,238,308,0.205,1.294
disappointment,104,98,113,0.123,1.153
realization,99,99,106,0.061,1.071
desire,262,190,279,0.280,1.468
surprise,126,128,142,0.091,1.109
caring,168,150,182,0.157,1.213
sadness,128,118,140,0.144,1.186
disgust,18,20,21,0.045,1.050
annoyance,27,34,35,0.028,1.029
remorse,74,77,85,0.084,1.104
anger,12,15,15,0.000,1.000
embarrassment,3,3,4,0.167,1.333
