metric,model,n,r2_mean,mae_mean,roc_auc_mean,acc_mean
p01,ridge_regression,225,-1.385,0.014,,
p05,ridge_regression,225,0.040,0.039,,
p10,ridge_regression,225,0.153,0.060,,
pi,ridge_regression,225,0.175,0.101,,
pop_mean_pct,ridge_regression,225,0.178,0.093,,
genre_js,ridge_regression,225,0.065,0.045,,
genre_entropy,ridge_regression,225,0.054,0.417,,
redundancy_new,ridge_regression,225,0.044,13.323,,
redundancy_repeated,ridge_regression,225,-0.170,13.360,,
stereotype_label,logistic_regression,225,,,0.971,0.938
