metric,model,n,r2_mean,mae_mean,roc_auc_mean,acc_mean
p01,ridge_regression,26372,0.003,0.421,,
p05,ridge_regression,26372,0.004,0.401,,
p10,ridge_regression,26372,0.002,0.242,,
pi,ridge_regression,26372,0.000,0.072,,
cep,ridge_regression,15643,-0.001,0.322,,
uiop,ridge_regression,8504,-0.002,0.304,,
pop_mean_pct,ridge_regression,26372,0.000,0.072,,
genre_js,ridge_regression,26265,0.002,0.071,,
genre_entropy,ridge_regression,26372,0.004,0.443,,
year_decade_js,ridge_regression,26323,0.002,0.085,,
year_decade_entropy,ridge_regression,26323,-0.001,0.083,,
mean_year,ridge_regression,26323,0.002,11.047,,
redundancy_new,ridge_regression,26372,0.006,0.234,,
redundancy_repeated,ridge_regression,26372,0.011,0.181,,
stereotype_label,logistic_regression,26372,,,0.525,0.651
